first_name,second_name,club_name,position,now_cost,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
Mason,Holgate,Everton,Defender,4.0,0.1,1,711,0,0,0,27,0,0,0,3,1,0,0,69,117.8,22.7,19.0,15.9,9,0.55,0.20,0.75,19.41
Tim,Iroegbunam,Everton,Midfielder,4.5,1.1,10,157,0,0,0,7,0,0,0,0,0,0,0,29,18.6,4.0,0.0,2.1,1,0.00,0.00,0.00,4.95
João,Neves Virgínia,Everton,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Michael,Keane,Everton,Defender,4.0,2.0,18,437,1,0,1,13,0,0,0,2,0,0,2,72,108.2,4.6,92.0,20.5,4,0.56,0.06,0.62,10.81
Neal,Maupay,Everton,Forward,5.0,2.5,76,1417,6,3,4,37,0,0,0,8,0,0,6,248,325.8,242.5,568.0,112.6,14,6.89,1.99,8.88,26.36
Dwight,McNeil,Everton,Midfielder,5.5,3.5,124,2891,3,8,12,39,0,0,0,2,0,0,8,515,615.4,1110.8,400.0,212.7,33,3.26,7.90,11.16,45.06
Vitalii,Mykolenko,Everton,Defender,4.5,3.6,101,2469,2,1,9,37,0,0,0,1,0,0,9,452,517.4,239.8,211.0,96.8,28,1.49,1.07,2.56,39.97
Iliman,Ndiaye,Everton,Forward,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Amadou,Onana,Everton,Midfielder,5.0,2.2,66,2085,2,0,5,38,0,0,0,5,0,0,5,304,354.0,282.7,254.0,89.5,23,2.22,1.39,3.61,36.94
Nathan,Patterson,Everton,Defender,4.5,1.7,34,1000,0,2,2,21,0,0,0,4,0,0,3,187,207.2,138.2,26.0,37.3,9,0.34,1.03,1.37,20.60
Jordan,Pickford,Everton,Goalkeeper,5.0,4.0,153,3420,0,0,13,51,1,0,0,5,0,121,22,734,969.2,43.4,0.0,101.3,38,0.00,0.46,0.46,56.01
James,Tarkowski,Everton,Defender,5.0,3.1,117,3420,1,1,13,51,0,0,0,11,0,0,10,649,915.4,269.6,320.0,150.9,38,2.55,2.66,5.21,55.64
Youssef,Ramalho Chermiti,Everton,Forward,5.0,0.9,16,196,0,0,1,4,0,0,0,3,0,0,0,28,19.2,51.2,84.0,14.9,1,0.74,0.30,1.04,5.04
Ashley,Young,Everton,Defender,4.5,2.5,76,2277,0,1,9,34,1,0,0,5,1,0,3,375,284.8,365.2,87.0,74.0,27,0.67,1.51,2.18,37.73
Adama,Traoré,Fulham,Midfielder,5.0,2.1,36,363,2,3,0,13,0,0,0,2,0,0,1,113,164.2,108.1,140.0,41.3,1,1.49,0.88,2.37,11.28
Andreas,Hoelgebaum Pereira,Fulham,Midfielder,5.5,3.4,127,2611,3,9,14,40,0,0,0,6,0,0,7,459,503.6,1254.3,417.0,217.8,34,4.52,5.72,10.24,42.91
Calvin,Bassey,Fulham,Defender,4.5,2.3,66,2299,1,0,6,42,0,0,0,4,1,0,4,442,462.8,34.8,50.0,55.0,25,0.37,0.16,0.53,40.83
Steven,Benda,Fulham,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tom,Cairney,Fulham,Midfielder,5.0,2.1,70,1472,1,6,4,27,1,0,0,3,0,0,2,346,335.2,407.2,170.0,90.9,14,1.03,2.58,3.61,29.53
Timothy,Castagne,Fulham,Defender,4.5,3.1,105,2630,1,3,9,40,0,0,0,3,0,0,7,510,494.4,295.0,229.0,102.1,29,1.29,2.06,3.35,41.07
Issa,Diop,Fulham,Defender,4.5,2.4,43,1423,0,0,5,26,0,0,0,2,1,0,3,259,348.8,20.5,37.0,40.8,16,0.26,0.42,0.68,33.20
Luke,Harris,Fulham,Midfielder,4.5,2.0,2,74,0,0,0,5,0,0,0,0,0,0,0,2,3.2,0.7,17.0,2.1,0,0.28,0.01,0.29,2.26
Alex,Iwobi,Fulham,Midfielder,5.5,3.2,102,2331,5,2,7,41,0,0,0,2,0,0,9,425,504.2,718.8,534.0,175.9,27,5.23,4.20,9.43,37.63
Bernd,Leno,Fulham,Goalkeeper,5.0,3.5,133,3420,0,0,10,61,1,0,0,3,0,134,15,782,1069.8,0.1,0.0,106.7,38,0.00,0.00,0.00,64.14
Saša,Lukić,Fulham,Midfielder,5.0,1.8,43,1113,1,0,5,20,0,0,0,3,0,0,0,157,192.4,155.6,115.0,46.2,13,1.49,0.46,1.95,22.86
Kevin,Mbabu,Fulham,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Rodrigo,Muniz Carvalho,Fulham,Forward,6.0,3.7,97,1589,9,2,6,27,0,0,0,1,0,0,12,299,409.0,213.1,875.0,148.2,18,8.76,0.94,9.70,26.67
Raúl,Jiménez,Fulham,Forward,5.5,3.0,72,1390,7,0,4,29,0,0,0,3,1,0,13,237,335.8,185.9,440.0,95.1,18,5.37,0.96,6.33,37.43
Tim,Ream,Fulham,Defender,4.5,2.2,40,1503,1,0,3,31,0,0,0,2,1,0,4,267,339.8,18.2,45.0,40.4,17,0.96,0.16,1.12,34.03
Harrison,Reed,Fulham,Midfielder,5.0,1.7,47,1317,0,2,6,23,0,0,0,6,0,0,0,205,213.8,212.6,45.0,47.2,15,0.29,1.49,1.78,25.65
Antonee,Robinson,Fulham,Defender,4.5,2.8,104,3266,0,6,9,60,2,0,0,6,0,0,8,662,805.8,536.7,241.0,158.6,37,0.68,3.75,4.43,61.93
Jay,Stansfield,Fulham,Forward,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kenny,Tete,Fulham,Defender,4.5,1.9,27,863,1,0,2,21,0,0,0,2,0,0,0,161,195.2,93.4,67.0,35.6,10,0.86,0.46,1.32,22.97
Carlos Vinícius,Alves Morais,Fulham,Forward,5.0,1.7,22,306,2,0,0,5,0,0,0,2,0,0,2,77,83.6,61.3,139.0,28.2,2,1.59,0.11,1.70,4.50
Harry,Wilson,Fulham,Midfielder,5.5,2.7,94,1603,4,7,5,30,0,0,0,6,0,0,5,307,375.0,357.3,340.0,107.2,16,3.45,2.63,6.08,33.01
Ali,Al-Hamadi,Ipswich,Forward,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Elkan,Baggott,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Nathan,Broadhead,Ipswich,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Cameron,Burgess,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Wes,Burns,Ipswich,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Conor,Chaplin,Ipswich,Midfielder,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harry,Clarke,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Leif,Davis,Ipswich,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Liam,Delap,Ipswich,Forward,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
George,Edmundson,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jacob,Greaves,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Marcus,Myers-Harness,Ipswich,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
George,Hirst,Ipswich,Forward,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Cameron,Humphreys,Ipswich,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Omari,Giraud-Hutchinson,Ipswich,Midfielder,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ben,Johnson,Ipswich,Defender,4.0,1.2,17,538,0,0,1,16,0,0,0,1,0,0,0,90,84.6,22.5,38.0,14.7,4,0.25,0.11,0.36,13.03
Freddie,Ladapo,Ipswich,Forward,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Massimo,Luongo,Ipswich,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Sam,Morsy,Ipswich,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Corrie,Ndaba,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Cieran,Slicker,Ipswich,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jack,Taylor,Ipswich,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Axel,Tuanzebe,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Christian,Walton,Ipswich,Goalkeeper,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Luke,Woolfenden,Ipswich,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Arijanet,Muric,Ipswich,Goalkeeper,4.5,4.7,47,900,0,0,0,16,1,1,0,0,0,64,12,241,513.0,40.3,0.0,55.3,10,0.00,0.05,0.05,20.43
Boubakary,Soumaré,Leicester,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tom,Cannon,Leicester,Forward,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Hamza,Choudhury,Leicester,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Conor,Coady,Leicester,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Patson,Daka,Leicester,Forward,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Bobby,De Cordova-Reid,Leicester,Midfielder,5.5,2.8,92,1410,6,3,3,29,0,0,0,4,0,0,7,290,330.6,255.3,325.0,90.0,17,4.55,1.12,5.67,28.79
Wout,Faes,Leicester,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Michael,Golding,Leicester,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Mads,Hermansen,Leicester,Goalkeeper,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Daniel,Iversen,Leicester,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
James,Justin,Leicester,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Victor,Kristiansen,Leicester,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Wanya,Marçal-Madivádua,Leicester,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Stephy,Mavididi,Leicester,Midfielder,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kasey,McAteer,Leicester,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Wilfred,Ndidi,Leicester,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Caleb,Okoli,Leicester,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ricardo,Barbosa Pereira,Leicester,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harry,Souttar,Leicester,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jakub,Stolarczyk,Leicester,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Luke,Thomas,Leicester,Defender,4.0,0.6,7,916,0,0,0,29,0,0,0,3,0,0,0,80,127.8,53.9,64.0,24.7,11,0.53,0.18,0.71,21.70
Jamie,Vardy,Leicester,Forward,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jannik,Vestergaard,Leicester,Defender,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny,Ward,Leicester,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harry,Winks,Leicester,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Abdul,Fatawu,Leicester,Midfielder,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Alisson,Ramses Becker,Liverpool,Goalkeeper,5.5,3.8,107,2520,0,0,8,30,0,0,0,1,0,83,9,575,671.2,10.4,0.0,68.1,28,0.00,0.00,0.00,35.21
Trent,Alexander-Arnold,Liverpool,Defender,7.0,4.4,122,2153,3,5,8,28,0,0,0,6,0,0,19,590,601.8,1027.5,237.0,186.8,25,2.78,5.84,8.62,27.96
Stefan,Bajčetić Maquieira,Liverpool,Midfielder,4.5,1.0,1,25,0,0,0,2,0,0,0,0,0,0,0,3,7.8,0.3,0.0,0.8,0,0.00,0.00,0.00,0.88
