first_name,second_name,club_name,position,now_cost,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
Chris,Richards,Crystal Palace,Defender,4.5,2.4,62,2091,1,1,4,38,0,0,0,3,0,0,4,370,456.2,87.5,108.0,65.2,23,0.60,0.17,0.77,33.16
Chadi,Riad Dnanou,Crystal Palace,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Nathaniel,Clyne,Crystal Palace,Defender,4.5,2.7,52,1335,0,1,5,16,0,0,0,0,0,0,0,259,179.6,67.8,21.0,27.0,14,0.21,0.21,0.42,21.65
Malcolm,Ebiowei,Crystal Palace,Midfielder,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Odsonne,Edouard,Crystal Palace,Forward,5.5,2.6,79,1545,7,0,6,24,0,0,0,4,0,0,9,246,359.6,256.7,663.0,128.0,17,6.33,0.86,7.19,20.54
Eberechi,Eze,Crystal Palace,Midfielder,7.0,5.0,136,2054,11,5,8,28,0,0,0,3,0,0,11,490,740.4,810.0,735.0,228.7,24,9.12,5.66,14.78,32.39
Marc,Guéhi,Crystal Palace,Defender,4.5,2.6,66,2020,0,1,6,32,0,0,0,2,0,0,6,397,417.8,106.6,35.0,56.1,23,0.58,1.00,1.58,31.51
Dean,Henderson,Crystal Palace,Goalkeeper,4.5,2.7,48,1620,0,0,4,30,2,0,0,2,0,58,2,293,434.8,0.0,0.0,43.7,18,0.00,0.01,0.01,26.47
Rob,Holding,Crystal Palace,Defender,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Will,Hughes,Crystal Palace,Midfielder,5.0,2.0,61,1886,0,2,8,38,0,0,0,6,0,0,2,252,319.2,338.6,67.0,72.3,23,0.31,1.70,2.01,30.83
Sam,Johnstone,Crystal Palace,Goalkeeper,4.5,3.4,68,1796,0,0,6,27,0,0,0,1,0,41,7,310,321.4,0.0,0.0,32.2,20,0.00,0.00,0.00,27.17
Daichi,Kamada,Crystal Palace,Midfielder,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jefferson,Lerma Solís,Crystal Palace,Midfielder,5.0,2.3,64,2399,1,1,5,46,0,0,0,8,0,0,4,338,417.6,366.1,240.0,102.4,27,2.61,1.78,4.39,38.16
Jean-Philippe,Mateta,Crystal Palace,Forward,7.5,4.7,165,2274,16,7,8,44,0,0,0,3,0,0,22,563,775.0,404.0,741.0,191.9,25,10.84,1.30,12.14,40.46
Matheus,França de Oliveira,Crystal Palace,Midfielder,4.5,1.6,16,224,0,2,0,7,0,0,0,1,0,0,0,47,36.4,77.7,53.0,16.5,1,0.33,0.46,0.79,3.49
Remi,Matthews,Crystal Palace,Goalkeeper,4.0,1.0,1,3,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.07
Tyrick,Mitchell,Crystal Palace,Defender,5.0,3.2,119,3204,2,3,10,55,0,0,0,6,0,0,10,590,669.8,393.7,209.0,127.4,37,1.27,2.39,3.66,50.84
Daniel,Muñoz,Crystal Palace,Defender,5.0,3.5,56,1440,0,4,5,22,0,0,0,4,0,0,3,270,331.0,265.6,119.0,71.7,16,1.26,1.26,2.52,19.71
David,Ozoh,Crystal Palace,Midfielder,4.5,0.9,8,148,0,0,0,5,0,0,0,1,0,0,0,27,25.2,4.0,0.0,2.9,0,0.00,0.01,0.01,3.06
Jesurun,Rak-Sakyi,Crystal Palace,Midfielder,4.5,1.3,8,132,0,0,1,3,0,0,0,0,0,0,0,21,23.2,28.2,58.0,11.0,0,0.41,0.14,0.54,3.21
Jeffrey,Schlupp,Crystal Palace,Midfielder,5.0,2.3,66,1340,2,2,4,25,0,0,0,1,0,0,4,201,279.8,234.2,229.0,74.1,17,1.70,1.41,3.11,22.46
Joel,Ward,Crystal Palace,Defender,4.5,2.1,54,1978,0,1,5,34,1,0,0,4,0,0,0,304,348.2,79.0,41.0,46.8,23,0.88,0.25,1.13,30.96
Adam,Wharton,Crystal Palace,Midfielder,5.0,3.1,50,1296,0,3,7,16,0,0,0,2,0,0,4,222,255.0,287.9,29.0,57.3,15,0.38,1.50,1.87,18.04
Abdoulaye,Doucouré,Everton,Midfielder,5.5,3.6,116,2632,7,3,12,36,0,0,0,7,0,0,7,335,462.4,456.5,687.0,161.0,32,8.70,1.51,10.21,42.26
Norberto Bercique,Gomes Betuncal,Everton,Forward,5.0,1.7,50,943,3,0,2,20,0,0,1,2,0,0,3,105,158.8,139.6,425.0,71.3,9,6.46,0.30,6.76,18.11
Jarrad,Branthwaite,Everton,Defender,5.0,3.5,124,3116,3,1,12,44,0,0,0,8,0,0,10,621,789.4,67.2,185.0,104.3,35,1.62,1.29,2.91,49.43
Dominic,Calvert-Lewin,Everton,Forward,6.0,3.2,101,2166,7,3,13,27,0,0,0,2,0,0,9,259,403.0,255.6,901.0,154.8,26,12.86,1.58,14.43,31.91
Séamus,Coleman,Everton,Defender,4.5,2.5,30,661,0,0,4,10,1,0,0,0,0,0,3,141,108.6,49.9,6.0,16.5,7,0.00,0.70,0.70,10.48
Idrissa,Gueye,Everton,Midfielder,5.0,2.9,73,1885,4,0,7,25,0,0,0,8,0,0,10,337,406.8,237.1,154.0,79.7,24,1.25,0.82,2.07,29.41
James,Garner,Everton,Midfielder,5.0,2.4,87,3001,1,2,11,47,0,0,0,7,0,0,3,421,526.6,663.1,244.0,143.5,34,2.62,3.75,6.37,48.61
Jack,Harrison,Everton,Midfielder,5.5,3.2,92,2212,3,3,11,26,0,0,0,1,0,0,5,292,397.4,405.7,339.0,114.3,25,3.68,3.02,6.70,34.15
