first_name,second_name,club_name,position,cost
Remi,Matthews,Crystal Palace,Goalkeeper,4.0
Tyrick,Mitchell,Crystal Palace,Defender,5.0
Daniel,Muñoz,Crystal Palace,Defender,5.0
David,Ozoh,Crystal Palace,Midfielder,4.5
Jesurun,Rak-Sakyi,Crystal Palace,Midfielder,4.5
Jeffrey,Schlupp,Crystal Palace,Midfielder,5.0
Joel,Ward,Crystal Palace,Defender,4.5
Adam,Wharton,Crystal Palace,Midfielder,5.0
Abdoulaye,Doucouré,Everton,Midfielder,5.5
Norberto Bercique,Gomes Betuncal,Everton,Forward,5.0
Jarrad,Branthwaite,Everton,Defender,5.0
Dominic,Calvert-Lewin,Everton,Forward,6.0
Séamus,Coleman,Everton,Defender,4.5
Idrissa,Gueye,Everton,Midfielder,5.0
James,Garner,Everton,Midfielder,5.0
Jack,Harrison,Everton,Midfielder,5.5
Mason,Holgate,Everton,Defender,4.0
Tim,Iroegbunam,Everton,Midfielder,4.5
João,Neves Virgínia,Everton,Goalkeeper,4.0
Michael,Keane,Everton,Defender,4.0
Neal,Maupay,Everton,Forward,5.0
Dwight,McNeil,Everton,Midfielder,5.5
Vitalii,Mykolenko,Everton,Defender,4.5
Iliman,Ndiaye,Everton,Forward,5.5
Amadou,Onana,Everton,Midfielder,5.0
Nathan,Patterson,Everton,Defender,4.5
Jordan,Pickford,Everton,Goalkeeper,5.0
James,Tarkowski,Everton,Defender,5.0
Youssef,Ramalho Chermiti,Everton,Forward,5.0
Ashley,Young,Everton,Defender,4.5
Adama,Traoré,Fulham,Midfielder,5.0
Andreas,Hoelgebaum Pereira,Fulham,Midfielder,5.5
Calvin,Bassey,Fulham,Defender,4.5
Steven,Benda,Fulham,Goalkeeper,4.0
Tom,Cairney,Fulham,Midfielder,5.0
Timothy,Castagne,Fulham,Defender,4.5
Issa,Diop,Fulham,Defender,4.5
Luke,Harris,Fulham,Midfielder,4.5
Alex,Iwobi,Fulham,Midfielder,5.5
Bernd,Leno,Fulham,Goalkeeper,5.0
Saša,Lukić,Fulham,Midfielder,5.0
Kevin,Mbabu,Fulham,Defender,4.0
Rodrigo,Muniz Carvalho,Fulham,Forward,6.0
Raúl,Jiménez,Fulham,Forward,5.5
Tim,Ream,Fulham,Defender,4.5
Harrison,Reed,Fulham,Midfielder,5.0
Antonee,Robinson,Fulham,Defender,4.5
Jay,Stansfield,Fulham,Forward,5.0
